SIG=(5,0) | TYPE=pure-block | S=R+(0,1)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-I,1),(0,3),(I,1)] | dimker=3 | A2zero=0 | minpolydeg=3
SIG=(5,0) | TYPE=pure-block | S=R+(0,1)x1,R+(2,3)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-I,2),(0,1),(I,2)] | dimker=1 | A2zero=0 | minpolydeg=3
SIG=(5,0) | TYPE=pure-block | S=R+(0,1)x1,R+(2,3)x2 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-2*I,1),(-I,1),(0,1),(2*I,1),(I,1)] | dimker=1 | A2zero=0 | minpolydeg=5
SIG=(5,0) | TYPE=NONE | S=- | N=D1 | K=- | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(5,0) | TYPE=NONE | S=- | N=D0 | K=- | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(5,0) | TYPE=NONE | S=R+(0,1)x1 | N=D1 | K=(3,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(5,0) | TYPE=NONE | S=R+(0,1)x1 | N=D0 | K=(3,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(4,1) | TYPE=pure-block | S=R+(0,1)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-I,1),(0,3),(I,1)] | dimker=3 | A2zero=0 | minpolydeg=3
SIG=(4,1) | TYPE=pure-block | S=B(0,4)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-1,1),(0,3),(1,1)] | dimker=3 | A2zero=0 | minpolydeg=3
SIG=(4,1) | TYPE=pure-block | S=R+(0,1)x1,R+(2,3)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-I,2),(0,1),(I,2)] | dimker=1 | A2zero=0 | minpolydeg=3
SIG=(4,1) | TYPE=pure-block | S=R+(0,1)x1,R+(2,3)x2 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-2*I,1),(-I,1),(0,1),(2*I,1),(I,1)] | dimker=1 | A2zero=0 | minpolydeg=5
SIG=(4,1) | TYPE=pure-block | S=R+(0,1)x1,B(2,4)x1 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-1,1),(-I,1),(0,1),(1,1),(I,1)] | dimker=1 | A2zero=0 | minpolydeg=5
